#Name	Car.Gen.vx_1	DM.Steer.Ang	Time
#Unit	m/s	rad	s
#nStates	0	0	0
	         13.561694	       0.024793714	             11.14
	         13.591549	        0.02469991	             11.16
	         13.621423	       0.024602944	             11.18
	         13.651316	       0.024502782	              11.2
	         13.681228	       0.024399392	             11.22
	         13.711159	       0.024292743	             11.24
	         13.741107	       0.024182808	             11.26
	         13.771073	       0.024069568	             11.28
	         13.801057	       0.023953004	              11.3
	         13.831057	       0.023833102	             11.32
	         13.861073	       0.023709845	             11.34
	         13.891105	        0.02358322	             11.36
	         13.921152	       0.023453221	             11.38
	         13.951214	       0.023319852	              11.4
	          13.98129	       0.023183109	             11.42
	          14.01138	       0.023042986	             11.44
	         14.041484	        0.02289943	             11.46
	         14.071601	       0.022752302	             11.48
	          14.10173	       0.022601452	              11.5
	         14.131871	       0.022446837	             11.52
	         14.162024	       0.022288557	             11.54
	         14.192188	       0.022126891	             11.56
	         14.222363	       0.021962114	             11.58
	         14.252548	       0.021794401	              11.6
	         14.282743	       0.021623867	             11.62
	         14.312949	       0.021450549	             11.64
	         14.343163	        0.02127441	             11.66
	         14.373386	       0.021095261	             11.68
	         14.403619	       0.020912884	              11.7
	          14.43386	       0.020727092	             11.72
	         14.464109	       0.020537782	             11.74
	         14.494367	       0.020344907	             11.76
	         14.524632	       0.020148464	             11.78
	         14.554904	       0.019948445	              11.8
	         14.585184	       0.019744841	             11.82
	         14.615471	       0.019537622	             11.84
	         14.645765	        0.01932675	             11.86
	         14.676066	        0.01911219	             11.88
	         14.706374	       0.018893924	              11.9
	         14.736686	       0.018671907	             11.92
	         14.767002	       0.018446133	             11.94
	         14.797322	       0.018216582	             11.96
	         14.827644	       0.017983254	             11.98
	          14.85797	       0.017746156	                12
	         14.888298	       0.017505299	             12.02
	         14.918629	       0.017260686	             12.04
	         14.948962	        0.01701232	             12.06
	         14.979298	       0.016760204	             12.08
	         15.009635	        0.01650426	              12.1
	         15.039975	       0.016244296	             12.12
	         15.070318	       0.015980083	             12.14
	         15.100662	       0.015711546	             12.16
	         15.131008	       0.015438835	             12.18
	         15.161357	       0.015162244	              12.2
	         15.191705	       0.014882222	             12.22
	         15.222054	       0.014599225	             12.24
	           15.2524	       0.014313445	             12.26
	         15.282745	       0.014024614	             12.28
	         15.313088	       0.013732217	              12.3
	          15.34343	       0.013435794	             12.32
	         15.373769	       0.013135078	             12.34
	         15.404106	       0.012829983	             12.36
	         15.434442	       0.012520513	             12.38
	         15.464776	       0.012206689	              12.4
	         15.495108	       0.011888518	             12.42
	         15.525438	        0.01156598	             12.44
	         15.555767	       0.011239043	             12.46
	         15.586094	       0.010907675	             12.48
	          15.61642	       0.010571841	              12.5
	         15.646744	       0.010231513	             12.52
	         15.677066	      0.0098866681	             12.54
	         15.707387	      0.0095372926	             12.56
	         15.737707	      0.0091833733	             12.58
	         15.768025	      0.0088248979	              12.6
	         15.798342	      0.0084618609	             12.62
	         15.828658	      0.0080942577	             12.64
	         15.858973	      0.0077220849	             12.66
	         15.889286	      0.0073453374	             12.68
	         15.919598	      0.0069639226	              12.7
	         15.949909	      0.0065774792	             12.72
	         15.980219	      0.0061855121	             12.74
	         16.010529	      0.0057877344	             12.76
	         16.040836	       0.005384468	             12.78
	         16.071144	      0.0049767368	              12.8
